Section_Number,FIR_Complaint,Offense,Punishment,Cognizable,Bailable,Court
Section 171-59,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding as described. Respected Sir/Madam, I, Raj Chopra, wish to lodge a formal complaint regarding as described that occurred on 06-05-2024, early afternoon, at the company premises in Dwarka. my acquaintance Diya Patel, aged around 50-55 years  committed as described. I have expert testimony, material evidence and eyewitness testimony as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",As described (variation 6),3 Months or Fine or Both,Cognizable,Non-Bailable,Any Magistrate
Section 171A-10,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Aditya Patil, wish to lodge a formal complaint regarding an incident that occurred on 30-06-2024, just before 12:00 AM, at my home in Alipore. my colleague Meera Mishra, aged around 50-55 years  committed the offense. I have photographs as evidence. I request that appropriate legal action be taken against the accused.",,,,,
Section 171B-2,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Kiran Shah, wish to lodge a formal complaint regarding an incident that occurred on 14-04-2023, at approximately 11:45 AM, at the classroom in Ghaziabad. my relative named Diya Chauhan, wearing a blue shirt and green pants  perpetrated the offense. I have audio recordings, transaction records and call records as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",,,,,
Section 171C-3,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Kabir Yadav, wish to lodge a formal complaint regarding an incident that occurred on 10-10-2024, between 1:45 and 4:45 PM, at the train. an unknown person, wearing a white shirt and black pants  carried out the offense. I have photographs as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",,,,,
Section 171D-27,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Amit Mukherjee, wish to lodge a formal complaint regarding an incident that occurred on 25-09-2023, just before 12:45 PM, at my home in Jaipur. an unidentified man, carrying a gun  engaged in the offense. I have CCTV footage, material evidence and digital communications as evidence. I urge the authorities to register an FIR and take necessary action.",,,,,
Section 171E-55,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding bribery. Respected Sir/Madam, I, Vihaan Gupta, wish to lodge a formal complaint regarding bribery that occurred on 24-12-2023, late evening, at the construction site in Thane. some unknown miscreants, of approximately short height and heavy build  carried out bribery. I have documentary proof and recovered stolen items as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Bribery (variation 7),"1 Year or Fine or Both, or if treating only, fine only",Non-Cognizable,Bailable,Magistrate First Class
Section 147-22,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding rioting. Respected Sir/Madam, I, Neha Kumar, wish to lodge a formal complaint regarding rioting that occurred on 21-05-2024, between 9:00 and 12:00 PM, at the victim's house. my colleague Rohit Chatterjee, carrying a rod  committed rioting. I have material evidence as evidence. I request that appropriate legal action be taken against the accused.",Rioting (variation 2),2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 171F-77,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding undue influence at an election. Respected Sir/Madam, I, Navya Kapoor, wish to lodge a formal complaint regarding undue influence at an election that occurred on 19-02-2025, between 3:45 and 4:45 PM, at the university grounds. my business associate Geeta Sharma  committed undue influence at an election. I have documentary proof and digital communications as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Undue influence at an election (variation 5),1 Year or Fine or Both,Non-Cognizable,Bailable,Magistrate First Class
Section 171G-57,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding false statement in connection with an election. Respected Sir/Madam, I, Rohit Verma, wish to lodge a formal complaint regarding false statement in connection with an election that occurred on 02-07-2023, late afternoon, at the shared cab. an unknown youth, of approximately tall height and heavy build  perpetrated false statement in connection with an election. I have audio recordings and material evidence as evidence. I request that appropriate legal action be taken against the accused.",False statement in connection with an election (variation 3),Fine,Non-Cognizable,Bailable,Magistrate First Class
Section 171H-98,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding illegal payments in connection with elections. Respected Sir/Madam, I, Rahul Nair, wish to lodge a formal complaint regarding illegal payments in connection with elections that occurred on 19-09-2023, late morning, at the library in Juhu. an unidentified individual  committed illegal payments in connection with elections. I have material evidence, documentary proof and medical reports as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Illegal payments in connection with elections (variation 9),Fine,Non-Cognizable,Bailable,Magistrate First Class
Section 171I-36,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding failure to keep election accounts. Respected Sir/Madam, I, Sara Joshi, wish to lodge a formal complaint regarding failure to keep election accounts that occurred on 12-06-2024, late evening, at the metro. my tenant Aditya Khanna  committed failure to keep election accounts. I have expert testimony, forensic evidence and recovered stolen items as evidence. I request that appropriate legal action be taken against the accused.",Failure to keep election accounts (variation 9),Fine,Non-Cognizable,Bailable,Magistrate First Class
Section 172-44,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding absconding to avoid service of summons or other proceeding from a public servant. Respected Sir/Madam, I, Pooja Chatterjee, wish to lodge a formal complaint regarding absconding to avoid service of summons or other proceeding from a public servant that occurred on 10-02-2025, between 6:30 and 7:30 PM, at the shared cab. my colleague Geeta Singh, of approximately medium height and slim build  carried out absconding to avoid service of summons or other proceeding from a public servant. I have CCTV footage as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Absconding to avoid service of summons or other proceeding from a public servant (variation 1),Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 173-71,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding preventing the service or the affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation. Respected Sir/Madam, I, Aanya Malhotra, wish to lodge a formal complaint regarding preventing the service or the affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation that occurred on 09-12-2023, in the night, at the auto-rickshaw. my colleague Krishna Patil, with long hair  committed preventing the service or the affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation. I have eyewitness testimony and recovered stolen items as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.","Preventing the service or The affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation (variation 3)",Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 174-31,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding not obeying a legal order to attend at a certain place in person or by agent, or departing therefrom without authority. Respected Sir/Madam, I, Ananya Patil, wish to lodge a formal complaint regarding not obeying a legal order to attend at a certain place in person or by agent, or departing therefrom without authority that occurred on 09-10-2023, late morning, at the bus stop in T. Nagar. my tenant Kiran Sharma, carrying a stick  carried out not obeying a legal order to attend at a certain place in person or by agent, or departing therefrom without authority. I have physical evidence and material evidence as evidence. I urge the authorities to register an FIR and take necessary action.","Not obeying a legal order to attend at a certain place in person or by agent, or departing therefrom without authority (variation 6)",Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 174A-21,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding failure to appear at specified place and specified time as required by a proclamation published under sub-section 1 of section 82 of this code. Respected Sir/Madam, I, Suman Chatterjee, wish to lodge a formal complaint regarding failure to appear at specified place and specified time as required by a proclamation published under sub-section 1 of section 82 of this code that occurred on 19-04-2023, in the night, at my building. an unknown assailant, with a scar on the face  carried out failure to appear at specified place and specified time as required by a proclamation published under sub-section 1 of section 82 of this code. I have recovered stolen items, expert testimony and medical reports as evidence. I urge the authorities to register an FIR and take necessary action.",Failure to appear at specified place and specified time as required by a proclamation published under Sub-Section 1 of section 82 of this Code (variation 3),3 Years or Fine or Both,Cognizable,Non-Bailable,Magistrate First Class
Section 175-27,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document. Respected Sir/Madam, I, Anita Desai, wish to lodge a formal complaint regarding intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document that occurred on 01-02-2024, during the morning, at the business establishment near District Court. an unidentified gang, of approximately tall height and medium build  carried out intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document. I have transaction records as evidence. I request that appropriate legal action be taken against the accused.",Intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document (variation 3),Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,"Same As Offence, subject to Ch. XXVI, or if not committed in a Court, Any Magistrate"
Section 176-53,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding intentionally omitting to give notice or information to a public servant by a person legally bound to give such notice or information. Respected Sir/Madam, I, Anjali Chauhan, wish to lodge a formal complaint regarding intentionally omitting to give notice or information to a public servant by a person legally bound to give such notice or information that occurred on 20-11-2024, during the evening, at my building. a group of unknown individuals, driving a white auto-rickshaw  carried out intentionally omitting to give notice or information to a public servant by a person legally bound to give such notice or information. I have transaction records as evidence. I urge the authorities to register an FIR and take necessary action.",Intentionally omitting to Give notice or information to a public servant by a person legally bound to Give such notice or information (variation 8),Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 148-96,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding rioting armed with deadly weapon. Respected Sir/Madam, I, Kavita Verma, wish to lodge a formal complaint regarding rioting armed with deadly weapon that occurred on 04-04-2024, at approximately 5:30 PM, at my apartment in Dwarka. my colleague Rahul Yadav, wearing a yellow shirt and black pants  committed rioting armed with deadly weapon. I have eyewitness testimony and forensic evidence as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Rioting armed with deadly Weapon (variation 7),3 Years or Fine or Both,Cognizable,Bailable,Magistrate First Class
Section 177-32,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding knowingly furnishing false information to a public servant. Respected Sir/Madam, I, Arjun Patel, wish to lodge a formal complaint regarding knowingly furnishing false information to a public servant that occurred on 02-09-2024, shortly after 6:30 PM, at the university grounds. an unidentified woman  carried out knowingly furnishing false information to a public servant. I have recovered stolen items as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Knowingly furnishing false information to a public servant (variation 4),6 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 178-38,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding refusing oath when duly required to take oath by a public servant. Respected Sir/Madam, I, Meera Roy, wish to lodge a formal complaint regarding refusing oath when duly required to take oath by a public servant that occurred on 07-09-2024, shortly after 5:45 PM, at the market. my tenant Pari Mishra, carrying a gun  engaged in refusing oath when duly required to take oath by a public servant. I have recovered stolen items, video recordings and digital communications as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Refusing oath when duly required to take oath by a public servant (variation 7),Simple Imprisonment for 6 Months or Fine or Both,Non-Cognizable,Bailable,"Same As Offence, subject to Ch. XXVI, or if not committed in a Court, Any Magistrate"
Section 179-89,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding being legally bound to state truth, and refusing to answer questions. Respected Sir/Madam, I, Kiara Nair, wish to lodge a formal complaint regarding being legally bound to state truth, and refusing to answer questions that occurred on 21-08-2023, around 8:45 AM, at the residential complex in Delhi. my colleague Rohit Roy, driving a yellow SUV  carried out being legally bound to state truth, and refusing to answer questions. I have CCTV footage as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.","Being legally bound to state truth, and refusing to answer questions (variation 1)",Simple Imprisonment for 6 Months or Fine or Both,Non-Cognizable,Bailable,"Same As Offence, subject to Ch. XXVI, or if not committed in a Court, Any Magistrate"
Section 180-5,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding refusing to sign statement made to a public servant when legally required to do so. Respected Sir/Madam, I, Kavita Mehta, wish to lodge a formal complaint regarding refusing to sign statement made to a public servant when legally required to do so that occurred on 29-03-2023, between 2:30 and 5:30 AM, at the classroom in Alipore. an unidentified woman, carrying a blunt object  carried out refusing to sign statement made to a public servant when legally required to do so. I have photographs and eyewitness testimony as evidence. I urge the authorities to register an FIR and take necessary action.",Refusing to sign statement made to a public servant when legally required to do so (variation 2),Simple Imprisonment for 3 Months or Fine or Both,Non-Cognizable,Bailable,"Same As Offence, subject to Ch. XXVI, or if not committed in a Court, Any Magistrate"
Section 181-12,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding knowingly stating to a public servant, on oath as true that which is false. Respected Sir/Madam, I, Aadhya Patel, wish to lodge a formal complaint regarding knowingly stating to a public servant, on oath as true that which is false that occurred on 28-06-2023, between 7:00 and 10:00 AM, at the highway in Chennai. an unknown youth, of approximately short height and medium build  carried out knowingly stating to a public servant, on oath as true that which is false. I have call records and physical evidence as evidence. I urge the authorities to register an FIR and take necessary action.","Knowingly stating to a public servant, on oath as True that which is false (variation 3)",3 Years + Fine,Non-Cognizable,Bailable,Magistrate First Class
Section 182-92,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person. Respected Sir/Madam, I, Suman Joshi, wish to lodge a formal complaint regarding giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person that occurred on 25-06-2023, early evening, at the company premises. an unidentified gang, aged around 30-35 years  struck me with a blunt object, resulting in bleeding from my face. I have medical reports, transaction records and CCTV footage as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person (variation 1),6 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 183-10,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding resistance to the taking of property by the lawful authority of a public servant. Respected Sir/Madam, I, Nikhil Chauhan, wish to lodge a formal complaint regarding resistance to the taking of property by the lawful authority of a public servant that occurred on 06-10-2024, during the evening, at the cinema hall in Dwarka. my former sister Pari Mukherjee, aged around 40-45 years  carried out resistance to the taking of property by the lawful authority of a public servant. I have CCTV footage as evidence. I request that appropriate legal action be taken against the accused.",Resistance to the taking of property by the lawful authority of a public servant (variation 3),6 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 184-99,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding obstructing sale of property offered for sale by authority of a public servant. Respected Sir/Madam, I, Vikram Sen, wish to lodge a formal complaint regarding obstructing sale of property offered for sale by authority of a public servant that occurred on 07-10-2023, during the morning, at the factory near Community Center. an unidentified gang  perpetrated obstructing sale of property offered for sale by authority of a public servant. I have eyewitness testimony and recovered stolen items as evidence. I request that appropriate legal action be taken against the accused.",Obstructing sale of property offered for sale by authority of a public servant (variation 9),1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 185-8,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized sale, or bidding without intending to perform the obligations incurred thereby. Respected Sir/Madam, I, Priya Pillai, wish to lodge a formal complaint regarding bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized sale, or bidding without intending to perform the obligations incurred thereby that occurred on 17-07-2024, between 12:45 and 3:45 AM, at the business establishment. an unidentified gang, aged around 45-50 years  committed bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized sale, or bidding without intending to perform the obligations incurred thereby. I have audio recordings as evidence. I request that appropriate legal action be taken against the accused.","Bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized Sale, or bidding without intending to perform the obligations incurred thereby (variation 4)",1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 186-91,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding obstructing public servant in discharge of his public functions. Respected Sir/Madam, I, Kabir Mehta, wish to lodge a formal complaint regarding obstructing public servant in discharge of his public functions that occurred on 02-04-2024, during the afternoon, at the university grounds in Navrangpura. my acquaintance Geeta Mukherjee, speaking in Hindi  committed obstructing public servant in discharge of his public functions. I have expert testimony as evidence. I urge the authorities to register an FIR and take necessary action.",Obstructing public servant in discharge of his public functions (variation 1),3 Months or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 149-40,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding if an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence. Respected Sir/Madam, I, Ananya Joshi, wish to lodge a formal complaint regarding if an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence that occurred on 02-03-2025, between 9:30 and 11:30 PM, at the classroom in Vadodara. an unidentified woman, driving a brown car  perpetrated if an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence. I have eyewitness testimony as evidence. I request that appropriate legal action be taken against the accused.","If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence (variation 7)",Same As Offence,Same As Offence,Same As Offence,Same As Offence
Section 187-94,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding omission to assist public servant when bound by law to give such assistance. Respected Sir/Madam, I, Meera Malhotra, wish to lodge a formal complaint regarding omission to assist public servant when bound by law to give such assistance that occurred on 27-07-2024, late evening, at my house. my tenant Kabir Singh, wearing a white shirt and black pants  carried out omission to assist public servant when bound by law to give such assistance. I have transaction records and expert testimony as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Omission to assist public servant when bound by law to give such assistance (variation 9),Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
Section 188-1,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding disobedience to an order lawfully promulgated by a public servant, if such disobedience causes obstruction, annoyance or injury to persons lawfully employed. Respected Sir/Madam, I, Diya Khanna, wish to lodge a formal complaint regarding disobedience to an order lawfully promulgated by a public servant, if such disobedience causes obstruction, annoyance or injury to persons lawfully employed that occurred on 26-02-2025, between 1:15 and 2:15 AM, at the public park. my neighbor Aadhya Kumar, of approximately short height and muscular build  assaulted me with bare hands, leading to severe cut requiring medical attention. I have expert testimony and photographs as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.","Disobedience to an order lawfully promulgated by a public servant, If such disobedience causes obstruction, annoyance or injury to persons lawfully employed (variation 6)",Simple Imprisonment for 1 Month or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 189-93,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act. Respected Sir/Madam, I, Kiran Yadav, wish to lodge a formal complaint regarding threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act that occurred on 26-01-2025, around 11:00 PM, at the metro station in Lucknow. an unknown assailant, carrying a sharp object  assaulted me with a stick, causing injuries to my leg. I have audio recordings as evidence. I urge the authorities to register an FIR and take necessary action.","Threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act (variation 9)",2 Years or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 190-75,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding threatening any person to induce him to refrain from making a legal application for protection from injury. Respected Sir/Madam, I, Kabir Patel, wish to lodge a formal complaint regarding threatening any person to induce him to refrain from making a legal application for protection from injury that occurred on 10-03-2025, early afternoon, at the complainant's residence in Bhopal. my neighbor Suman Verma, driving a brown motorcycle  attacked me with a rod, causing me to lose consciousness due to the laceration. I have call records as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Threatening any person to induce him to refrain From making a legal application for protection From injury (variation 8),1 Year or Fine or Both,Non-Cognizable; Cognizable in A.P.,Bailable,Any Magistrate
Section 150-94,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding hiring, engaging or employing persons to take part in an unlawful assembly. Respected Sir/Madam, I, Aadhya Chatterjee, wish to lodge a formal complaint regarding hiring, engaging or employing persons to take part in an unlawful assembly that occurred on 21-02-2025, between 3:15 and 4:15 AM, at my home in Malad. an unidentified gang, of approximately short height and medium build  committed hiring, engaging or employing persons to take part in an unlawful assembly. I have recovered stolen items, material evidence and video recordings as evidence. I urge the authorities to register an FIR and take necessary action.","Hiring, engaging or employing persons to Take part in an unlawful assembly (variation 9)",Same as a Member and for Offence by any Member,Cognizable,Same As Offence,Same As Offence
Section 151-70,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding knowingly joining or continuing in any assembly of five or more persons after it has been commanded to disperse. Respected Sir/Madam, I, Ayush Singh, wish to lodge a formal complaint regarding knowingly joining or continuing in any assembly of five or more persons after it has been commanded to disperse that occurred on 15-06-2023, during the morning, at the business establishment in Ludhiana. my landlord Radha Gupta  committed knowingly joining or continuing in any assembly of five or more persons after it has been commanded to disperse. I have physical evidence and expert testimony as evidence. I urge the authorities to register an FIR and take necessary action.",Knowingly joining or continuing in any assembly of five or more Persons after it has been commanded to disperse (variation 9),6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 152-65,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding assaulting or obstructing public servant when suppressing riot, etc.. Respected Sir/Madam, I, Kabir Chopra, wish to lodge a formal complaint regarding assaulting or obstructing public servant when suppressing riot, etc. that occurred on 24-09-2023, just before 5:15 PM, at the community center in Koramangala. a person known to me, Raj Roy  beat me with a knife, causing injuries to my face. I have digital communications as evidence. I request that appropriate legal action be taken against the accused.","Assaulting or obstructing public servant when suppressing riot, etc. (variation 10)",3 Years or Fine or Both,Cognizable,Bailable,Magistrate First Class
Section 224-10,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding resistance or obstruction by a person to his lawful apprehension. Respected Sir/Madam, I, Aditya Banerjee, wish to lodge a formal complaint regarding resistance or obstruction by a person to his lawful apprehension that occurred on 15-04-2023, around 3:00 PM, at the warehouse in T. Nagar. a group of unknown individuals  committed resistance or obstruction by a person to his lawful apprehension. I have eyewitness testimony, call records and documentary proof as evidence. I request that appropriate legal action be taken against the accused.",Resistance or obstruction by a person to his lawful apprehension (variation 9),2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 225-29,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody. Respected Sir/Madam, I, Kabir Pillai, wish to lodge a formal complaint regarding resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody that occurred on 27-02-2024, late evening, at the public gathering in Lucknow. an unknown assailant, aged around 25-30 years  perpetrated resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody. I have medical reports as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.","Resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody (variation 8)",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 225A-12,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, in case of intentional omission or sufferance. Respected Sir/Madam, I, Kiara Mehta, wish to lodge a formal complaint regarding omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, in case of intentional omission or sufferance that occurred on 20-05-2023, at approximately 10:30 AM, at the public transport. an unidentified individual  carried out omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, in case of intentional omission or sufferance. I have audio recordings, forensic evidence and digital communications as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.","Omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, In case of intentional omission or sufferance (variation 2)",3 Years or Fine or Both,Non-Cognizable,Bailable,Magistrate First Class
Section 225B-80,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for. Respected Sir/Madam, I, Suman Gupta, wish to lodge a formal complaint regarding resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for that occurred on 06-11-2024, just before 8:30 AM, at my workplace in C.G. Road. my former colleague Aditya Bose, speaking in regional language  carried out resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for. I have photographs as evidence. I request that appropriate legal action be taken against the accused.","Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for (variation 3)",6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 226-89,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Ayush Banerjee, wish to lodge a formal complaint regarding an incident that occurred on 05-03-2025, late night, at the classroom in Malad. an unidentified individual  perpetrated the offense. I have documentary proof, physical evidence and photographs as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",,,,,
Section 191-96,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Sanjay Desai, wish to lodge a formal complaint regarding an incident that occurred on 03-05-2024, between 12:00 and 3:00 PM, at my residence in Bhopal. my colleague Vikram Chopra  carried out the offense. I have digital communications as evidence. I urge the authorities to register an FIR and take necessary action.",,,,,
Section 192-56,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Aarav Patel, wish to lodge a formal complaint regarding an incident that occurred on 05-11-2024, around 7:45 AM, at the victim's house. a stranger  carried out the offense. I have forensic evidence, recovered stolen items and video recordings as evidence. I request that appropriate legal action be taken against the accused.",,,,,
Section 193-12,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding giving or fabricating false evidence in a judicial proceeding. Respected Sir/Madam, I, Amit Verma, wish to lodge a formal complaint regarding giving or fabricating false evidence in a judicial proceeding that occurred on 01-03-2025, in the afternoon, at my flat in Chennai. my relative named Suman Mukherjee, aged around 45-50 years  perpetrated giving or fabricating false evidence in a judicial proceeding. I have eyewitness testimony, audio recordings and photographs as evidence. I request that appropriate legal action be taken against the accused.",Giving or fabricating false evidence in a judicial proceeding (variation 6),7 Years + Fine,Non-Cognizable,Bailable,Magistrate First Class
Section 194-94,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding giving or fabricating false evidence with intent to cause any person to be convicted of a capital offence. Respected Sir/Madam, I, Ayush Mishra, wish to lodge a formal complaint regarding giving or fabricating false evidence with intent to cause any person to be convicted of a capital offence that occurred on 19-02-2024, early evening, at my workplace. a masked person  committed giving or fabricating false evidence with intent to cause any person to be convicted of a capital offence. I have medical reports and forensic evidence as evidence. I urge the authorities to register an FIR and take necessary action.",Giving or fabricating false evidence with intent to cause any person to be convicted of a capital offence (variation 4),Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,Non-Cognizable,Non-Bailable,Court of Session
Section 195-45,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 years or upwards. Respected Sir/Madam, I, Krishna Yadav, wish to lodge a formal complaint regarding giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 years or upwards that occurred on 16-07-2024, around 2:30 PM, at the laboratory in Chennai. my former sister Vikram Khanna, driving a grey auto-rickshaw  perpetrated giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 years or upwards. I have photographs and video recordings as evidence. I urge the authorities to register an FIR and take necessary action.",Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 Years or upwards (variation 9),Same As Offence,Non-Cognizable,Bailable,Court of Session
Section 195A-77,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding threatening any person to give false evidence. Respected Sir/Madam, I, Sunita Jain, wish to lodge a formal complaint regarding threatening any person to give false evidence that occurred on 16-06-2024, shortly after 6:30 PM, at the complainant's residence in Jubilee Hills. my tenant Neha Yadav, driving a purple car  threatened me with physical harm to me and my family. I have physical evidence, photographs and material evidence as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Threatening any person to give false evidence (variation 1),7 Years or Fine or Both,Cognizable,Non-Bailable,As for False Evidence
