FIR_Complaint,Sections
"On 29-05-2024, I witnessed/experienced being entrusted with any closed receptacle containing or supposed to contain any property, and fraudulently opening the same. The incident happened at market. This occurred around evening. The accused is my neighbor. I have evidence in the form of documents.","['Section 337', 'Section 413']"
I wish to file an FIR as extortion has taken place. The incident happened at train. This occurred around early morning. The accused is a stranger. I have evidence in the form of medical reports.,"['Section 349', 'Section 194']"
I wish to file an FIR as personating a public servant has taken place. The incident happened at workplace. This occurred around morning. The accused is a relative. I have evidence in the form of witnesses.,"['Section 308', 'Section 284']"
I would like to report that threatening any person to induce him to refrain from making a legal application for protection from injury. The incident happened at road. This occurred around early morning. The accused is known to me. I have evidence in the form of physical evidence.,"['Section 375', 'Section 254']"
"I would like to report that resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody. The incident happened at road. This occurred around early morning. The accused is a relative. I have evidence in the form of documents.","['Section 231', 'Section 122']"
"This is to report that on 14-09-2023, grievous hurt caused whilst committing lurking house-trespass or house-breaking occurred. The incident happened at road. This occurred around evening. The accused is unknown. I have evidence in the form of medical reports.","['Section 510', 'Section 275']"
I wish to file an FIR as malignantly doing any act known to be likely to spread infection of any disease dangerous to life has taken place. The incident happened at shop. This occurred around morning. The accused is my neighbor. I have evidence in the form of physical evidence.,"['Section 330', 'Section 161']"
"This is to report that on 03-12-2024, delivery to another of coin as genuine which, when first possessed, the deliverer did not know to be altered occurred. The incident happened at road. This occurred around night. The accused is my neighbor. I have evidence in the form of medical reports.","['Section 228', 'Section 29']"
"On 04-05-2023, I witnessed/experienced voluntarily causing hurt to extort property or a valuable security, or to constrain to do anything which is illegal or which may facilitate the commission of an offence. The incident happened at restaurant. This occurred around afternoon. The accused is known to me. I have evidence in the form of documents.","['Section 282', 'Section 339']"
"On 12-09-2023, I witnessed/experienced voluntarily causing hurt to deter public servant from his duty. The incident happened at public place. This occurred around evening. The accused is a relative. I have evidence in the form of witnesses.","['Section 387', 'Section 274']"
"I would like to report that having possession of a document, knowing it to be forged, with intent to use it as genuine; if the document is one of the description mentioned in section 466 of the indian penal code. The incident happened at bus. This occurred around evening. The accused is a stranger. I have evidence in the form of medical reports.","['Section 212', 'Section 181']"
"I wish to file an FIR as voluntarily causing grievous hurt to extort confession or information or to compel restoration of property, etc. has taken place. The incident happened at train. This occurred around early morning. The accused is my neighbor. I have evidence in the form of physical evidence.","['Section 330', 'Section 484']"
I am filing this complaint regarding an incident where counterfeiting a government stamp. The incident happened at road. This occurred around morning. The accused is my neighbor. I have evidence in the form of witnesses.,"['Section 466', 'Section 287']"
I wish to file an FIR as committing affray has taken place. The incident happened at public place. This occurred around early morning. The accused is known to me. I have evidence in the form of witnesses.,"['Section 386', 'Section 310']"
"This is to report that on 15-07-2024, kidnapping or obtaining the custody of a minor in order that such minor may be employed or used for purposes of begging occurred. The incident happened at workplace. This occurred around morning. The accused is known to me. I have evidence in the form of documents.","['Section 122', 'Section 492']"
"On 04-09-2024, I witnessed/experienced false charge of offence made with intent to injure. The incident happened at road. This occurred around early morning. The accused is a relative. I have evidence in the form of medical reports.","['Section 187', 'Section 168']"
"I wish to file an FIR as having possession of a document, knowing it to be forged, with intent to use it as genuine; if the document is one of the description mentioned in section 466 of the indian penal code has taken place. The incident happened at market. This occurred around afternoon. The accused is a relative. I have evidence in the form of physical evidence.","['Section 402', 'Section 448']"
"I would like to report that causing disappearance of evidence of an offence committed, or giving false information touching it to screen the offender, if a capital offence. The incident happened at workplace. This occurred around morning. The accused is a colleague. I have evidence in the form of documents.","['Section 342', 'Section 467']"
"I would like to report that voluntarily causing hurt to extort property or a valuable security, or to constrain to do anything which is illegal or which may facilitate the commission of an offence. The incident happened at restaurant. This occurred around afternoon. The accused is known to me. I have evidence in the form of witnesses.","['Section 334', 'Section 154']"
I am filing this complaint regarding an incident where murder. The incident happened at public place. This occurred around afternoon. The accused is a colleague. I have evidence in the form of video recording.,"['Section 381', 'Section 448']"
I am filing this complaint regarding an incident where the incident described. The incident happened at market. This occurred around morning. The accused is a colleague. I have evidence in the form of physical evidence.,"['Section 212', 'Section 277']"
"I would like to report that public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture. The incident happened at market. This occurred around morning. The accused is my neighbor. I have evidence in the form of documents.","['Section 476', 'Section 385']"
I would like to report that wrongfully confining any person. The incident happened at market. This occurred around afternoon. The accused is a colleague. I have evidence in the form of medical reports.,"['Section 264', 'Section 455']"
"This is to report that on 25-07-2024, forgery for the purpose of harming the reputation of any person or knowing that it is likely to be used for that purpose occurred. The incident happened at train. This occurred around night. The accused is a relative. I have evidence in the form of physical evidence.","['Section 477', 'Section 204']"
I wish to file an FIR as death caused by an act done with intent to cause miscarriage has taken place. The incident happened at home. This occurred around early morning. The accused is a colleague. I have evidence in the form of physical evidence.,"['Section 396', 'Section 262']"
I am filing this complaint regarding an incident where the incident described. The incident happened at bus. This occurred around morning. The accused is a relative. I have evidence in the form of documents.,"['Section 493', 'Section 175']"
"I would like to report that fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied. The incident happened at public place. This occurred around early morning. The accused is a colleague. I have evidence in the form of photographs.","['Section 422', 'Section 237']"
"I wish to file an FIR as act done with intent to prevent a child being born alive, or to cause it to die after its birth has taken place. The incident happened at workplace. This occurred around early morning. The accused is known to me. I have evidence in the form of physical evidence.","['Section 360', 'Section 134']"
I wish to file an FIR as the incident described has taken place. The incident happened at restaurant. This occurred around night. The accused is unknown. I have evidence in the form of video recording.,"['Section 414', 'Section 289']"
"I would like to report that extortion by threat of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 years.. The incident happened at workplace. This occurred around evening. The accused is a relative. I have evidence in the form of physical evidence.","['Section 398', 'Section 179']"
"On 18-01-2025, I witnessed/experienced attempt to commit suicide. The incident happened at public place. This occurred around afternoon. The accused is known to me. I have evidence in the form of witnesses.","['Section 260', 'Section 187']"
"On 08-01-2024, I witnessed/experienced habitually dealing in stolen property. The incident happened at road. This occurred around early morning. The accused is known to me. I have evidence in the form of video recording.","['Section 508', 'Section 297']"
"I wish to file an FIR as criminal breach of trust by public servant or by banker, merchant or agent, etc. has taken place. The incident happened at train. This occurred around night. The accused is my neighbor. I have evidence in the form of witnesses.","['Section 478', 'Section 312']"
"I am filing this complaint regarding an incident where harbouring an offender, if the offence be capital. The incident happened at shop. This occurred around morning. The accused is my neighbor. I have evidence in the form of photographs.","['Section 414', 'Section 268']"
I am filing this complaint regarding an incident where defiling the water of a public spring or reservoir. The incident happened at bus. This occurred around early morning. The accused is unknown. I have evidence in the form of documents.,"['Section 450', 'Section 280']"
I would like to report that counterfeiting a government stamp. The incident happened at train. This occurred around evening. The accused is my neighbor. I have evidence in the form of documents.,"['Section 501', 'Section 328']"
"On 11-06-2023, I witnessed/experienced removing destroying or defacing property mark with intent to cause injury. The incident happened at public place. This occurred around morning. The accused is a colleague. I have evidence in the form of photographs.","['Section 509', 'Section 424']"
"On 03-10-2023, I witnessed/experienced using in a judicial proceeding evidence known to be false or fabricated. The incident happened at public place. This occurred around evening. The accused is a colleague. I have evidence in the form of documents.","['Section 378', 'Section 140']"
"This is to report that on 22-10-2023, making atmosphere noxious to health occurred. The incident happened at workplace. This occurred around night. The accused is a stranger. I have evidence in the form of video recording.","['Section 258', 'Section 308']"
"On 26-07-2024, I witnessed/experienced abetment of the desertion of an officer, soldier, sailor or airman. The incident happened at workplace. This occurred around afternoon. The accused is a colleague. I have evidence in the form of medical reports.","['Section 209', 'Section 212']"
I am filing this complaint regarding an incident where mischief. The incident happened at shop. This occurred around early morning. The accused is a stranger. I have evidence in the form of documents.,"['Section 124', 'Section 316']"
"This is to report that on 26-06-2023, voluntarily causing hurt to extort confession or information of property, etc. occurred. The incident happened at bus. This occurred around evening. The accused is my neighbor. I have evidence in the form of video recording.","['Section 373', 'Section 339']"
"I would like to report that theft, after preparation having been made for causing death, or hurt, or restraint or fear of death, or of hurt or of restraint, in order to the committing of such theft, or to retiring after committing it, or to retaining property taken by it. The incident happened at market. This occurred around night. The accused is a stranger. I have evidence in the form of photographs.","['Section 199', 'Section 490']"
"On 03-01-2025, I witnessed/experienced obstructing sale of property offered for sale by authority of a public servant. The incident happened at restaurant. This occurred around evening. The accused is a stranger. I have evidence in the form of documents.","['Section 362', 'Section 154']"
"This is to report that on 06-08-2023, undue influence at an election occurred. The incident happened at home. This occurred around evening. The accused is known to me. I have evidence in the form of medical reports.","['Section 356', 'Section 498']"
"This is to report that on 12-12-2023, causing disappearance of evidence of an offence committed, or giving false information touching it to screen the offender, if a capital offence occurred. The incident happened at bus. This occurred around night. The accused is my neighbor. I have evidence in the form of documents.","['Section 256', 'Section 150']"
"I would like to report that preventing the service or the affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation. The incident happened at road. This occurred around afternoon. The accused is a colleague. I have evidence in the form of video recording.","['Section 452', 'Section 369']"
I wish to file an FIR as buying or obtaining possession of a minor for the same purposes has taken place. The incident happened at road. This occurred around afternoon. The accused is known to me. I have evidence in the form of witnesses.,"['Section 307', 'Section 179']"
I am filing this complaint regarding an incident where escape from confinement negligently suffered by a public servant. The incident happened at restaurant. This occurred around morning. The accused is known to me. I have evidence in the form of physical evidence.,"['Section 349', 'Section 370']"
I would like to report that causing miscarriage without womanâ€™s consent. The incident happened at road. This occurred around early morning. The accused is known to me. I have evidence in the form of witnesses.,"['Section 297', 'Section 302']"
I wish to file an FIR as the incident described has taken place. The incident happened at train. This occurred around early morning. The accused is a relative. I have evidence in the form of photographs.,"['Section 244', 'Section 498']"
I wish to file an FIR as malignantly doing any act known to be likely to spread infection of any disease dangerous to life has taken place. The incident happened at train. This occurred around evening. The accused is a relative. I have evidence in the form of documents.,"['Section 304', 'Section 376']"
"I wish to file an FIR as making, buying or selling instrument for the purpose of counterfeiting a government stamp has taken place. The incident happened at bus. This occurred around afternoon. The accused is a colleague. I have evidence in the form of medical reports.","['Section 292', 'Section 138']"
I wish to file an FIR as the incident described has taken place. The incident happened at public place. This occurred around evening. The accused is unknown. I have evidence in the form of photographs.,"['Section 184', 'Section 306']"
"This is to report that on 09-09-2024, taking gift to help to recover movable property of which a person has been deprived by an offence without causing apprehension of offender occurred. The incident happened at home. This occurred around morning. The accused is my neighbor. I have evidence in the form of physical evidence.","['Section 334', 'Section 366']"
"This is to report that on 19-12-2024, the incident described occurred. The incident happened at bus. This occurred around night. The accused is unknown. I have evidence in the form of physical evidence.","['Section 255', 'Section 305']"
I would like to report that murder in dacoity. The incident happened at train. This occurred around evening. The accused is known to me. I have evidence in the form of video recording.,"['Section 453', 'Section 363']"
"This is to report that on 04-03-2024, giving false information respecting an offence committed occurred. The incident happened at market. This occurred around morning. The accused is a relative. I have evidence in the form of photographs.","['Section 302', 'Section 327']"
"This is to report that on 01-04-2024, imputations, assertions prejudicial to national integration occurred. The incident happened at bus. This occurred around morning. The accused is a relative. I have evidence in the form of photographs.","['Section 156', 'Section 160']"
"On 22-12-2023, I witnessed/experienced mischief by causing inundation or obstruction to public drainage attended with damage. The incident happened at public place. This occurred around night. The accused is unknown. I have evidence in the form of medical reports.","['Section 420', 'Section 140']"
I wish to file an FIR as obstructing public servant in discharge of his public functions has taken place. The incident happened at workplace. This occurred around afternoon. The accused is a stranger. I have evidence in the form of documents.,"['Section 124', 'Section 484']"
"On 05-01-2024, I witnessed/experienced lurking house-trespass or house-breaking after preparation made for causing hurt, assault, etc.. The incident happened at bus. This occurred around early morning. The accused is a colleague. I have evidence in the form of video recording.","['Section 171', 'Section 286']"
"I would like to report that owner or occupier of land non giving information of riot, etc.. The incident happened at restaurant. This occurred around evening. The accused is my neighbor. I have evidence in the form of physical evidence.","['Section 184', 'Section 137']"
I am filing this complaint regarding an incident where rioting armed with deadly weapon. The incident happened at workplace. This occurred around early morning. The accused is known to me. I have evidence in the form of photographs.,"['Section 259', 'Section 448']"
I wish to file an FIR as belonging to a wandering gang of persons associated for the purpose of habitually committing thefts has taken place. The incident happened at bus. This occurred around evening. The accused is a stranger. I have evidence in the form of medical reports.,"['Section 216', 'Section 178']"
I would like to report that making use of any such false mark. The incident happened at train. This occurred around afternoon. The accused is unknown. I have evidence in the form of physical evidence.,"['Section 371', 'Section 402']"
"On 12-04-2024, I witnessed/experienced kidnapping or abducting in order to murder. The incident happened at restaurant. This occurred around evening. The accused is a colleague. I have evidence in the form of physical evidence.","['Section 174', 'Section 149']"
I wish to file an FIR as possession of forged or counterfeit currency-notes or bank-notes has taken place. The incident happened at road. This occurred around early morning. The accused is my neighbor. I have evidence in the form of video recording.,"['Section 203', 'Section 276']"
"I wish to file an FIR as house-trespass, having made preparation for causing hurt, assault, etc. has taken place. The incident happened at train. This occurred around evening. The accused is my neighbor. I have evidence in the form of witnesses.","['Section 260', 'Section 175']"
"On 27-02-2025, I witnessed/experienced the incident described. The incident happened at home. This occurred around morning. The accused is known to me. I have evidence in the form of photographs.","['Section 241', 'Section 463']"
"This is to report that on 14-08-2023, adulterating any drug or medical preparation intended for sale so as to lessen its efficacy, or to change its operation, or to make it noxious occurred. The incident happened at workplace. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of witnesses.","['Section 196', 'Section 409']"
"I wish to file an FIR as harbouring such an officer, soldier, sailor or airman who has deserted has taken place. The incident happened at train. This occurred around afternoon. The accused is known to me. I have evidence in the form of physical evidence.","['Section 481', 'Section 260']"
"On 03-02-2024, I witnessed/experienced the incident described. The incident happened at market. This occurred around night. The accused is unknown. I have evidence in the form of physical evidence.","['Section 157', 'Section 270']"
I am filing this complaint regarding an incident where using a false property mark with intent to deceive or injure any person. The incident happened at train. This occurred around afternoon. The accused is known to me. I have evidence in the form of witnesses.,"['Section 160', 'Section 463']"
"I would like to report that harbouring an offender, if the offence be capital. The incident happened at train. This occurred around afternoon. The accused is a relative. I have evidence in the form of documents.","['Section 207', 'Section 332']"
I am filing this complaint regarding an incident where the incident described. The incident happened at public place. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of documents.,"['Section 433', 'Section 426']"
I am filing this complaint regarding an incident where so dealing with any machinery. The incident happened at bus. This occurred around early morning. The accused is known to me. I have evidence in the form of physical evidence.,"['Section 261', 'Section 194']"
"This is to report that on 18-02-2025, same with respect to indian coin occurred. The incident happened at public place. This occurred around afternoon. The accused is a stranger. I have evidence in the form of documents.","['Section 469', 'Section 239']"
I am filing this complaint regarding an incident where maliciously insulting the religions or the religious beliefs of any class. The incident happened at home. This occurred around morning. The accused is my neighbor. I have evidence in the form of medical reports.,"['Section 211', 'Section 372']"
I would like to report that criminal force to woman with intent to disrobe. The incident happened at market. This occurred around night. The accused is a stranger. I have evidence in the form of documents.,"['Section 204', 'Section 363']"
I wish to file an FIR as committing a public nuisance has taken place. The incident happened at market. This occurred around early morning. The accused is unknown. I have evidence in the form of medical reports.,"['Section 334', 'Section 140']"
I would like to report that house-trespass. The incident happened at restaurant. This occurred around morning. The accused is known to me. I have evidence in the form of video recording.,"['Section 318', 'Section 238']"
"This is to report that on 22-05-2024, assault or use of criminal force on grave and sudden provocation occurred. The incident happened at workplace. This occurred around morning. The accused is my neighbor. I have evidence in the form of video recording.","['Section 299', 'Section 160']"
"On 04-08-2023, I witnessed/experienced the incident described. The incident happened at bus. This occurred around night. The accused is a stranger. I have evidence in the form of video recording.","['Section 200', 'Section 437']"
I wish to file an FIR as malignantly doing any act known to be likely to spread infection of any disease dangerous to life has taken place. The incident happened at home. This occurred around evening. The accused is my neighbor. I have evidence in the form of documents.,"['Section 377', 'Section 511']"
I am filing this complaint regarding an incident where defamation against the president or the vice-president or the governor of a state or administrator of a union territory or a minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the public prosecutor. The incident happened at public place. This occurred around evening. The accused is my neighbor. I have evidence in the form of photographs.,"['Section 502', 'Section 473']"
"This is to report that on 27-08-2024, the incident described occurred. The incident happened at workplace. This occurred around night. The accused is a colleague. I have evidence in the form of medical reports.","['Section 145', 'Section 396']"
"This is to report that on 08-05-2024, person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it occurred. The incident happened at train. This occurred around night. The accused is a relative. I have evidence in the form of documents.","['Section 447', 'Section 377']"
I wish to file an FIR as the incident described has taken place. The incident happened at bus. This occurred around morning. The accused is a relative. I have evidence in the form of physical evidence.,"['Section 260', 'Section 306']"
"This is to report that on 26-11-2023, public servant obtaining any valuable thing, without consideration, from a person concerned in any proceeding or business transacted by such public servant occurred. The incident happened at market. This occurred around night. The accused is a relative. I have evidence in the form of witnesses.","['Section 427', 'Section 299']"
I would like to report that sale of counterfeit government stamp. The incident happened at public place. This occurred around night. The accused is a stranger. I have evidence in the form of photographs.,"['Section 136', 'Section 131']"
"On 23-09-2024, I witnessed/experienced public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfeiture. The incident happened at bus. This occurred around morning. The accused is a colleague. I have evidence in the form of medical reports.","['Section 455', 'Section 320']"
I am filing this complaint regarding an incident where the incident described. The incident happened at road. This occurred around afternoon. The accused is known to me. I have evidence in the form of witnesses.,"['Section 490', 'Section 327']"
"I wish to file an FIR as fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied has taken place. The incident happened at bus. This occurred around evening. The accused is a colleague. I have evidence in the form of documents.","['Section 419', 'Section 435']"
I would like to report that criminal intimidation. The incident happened at workplace. This occurred around morning. The accused is a stranger. I have evidence in the form of physical evidence.,"['Section 459', 'Section 482']"
"This is to report that on 27-04-2024, fraudulent use of false instrument for weighing occurred. The incident happened at home. This occurred around afternoon. The accused is unknown. I have evidence in the form of physical evidence.","['Section 292', 'Section 384']"
"On 14-07-2024, I witnessed/experienced dishonestly receiving stolen property, knowing that it was obtained by dacoity. The incident happened at market. This occurred around early morning. The accused is my neighbor. I have evidence in the form of medical reports.","['Section 169', 'Section 264']"
"I would like to report that conveying for hire any person by water, in a vessel in such a state, or so loaded, as to endanger his life. The incident happened at restaurant. This occurred around early morning. The accused is unknown. I have evidence in the form of video recording.","['Section 29', 'Section 425']"
I am filing this complaint regarding an incident where attempt to murder. The incident happened at road. This occurred around early morning. The accused is unknown. I have evidence in the form of documents.,"['Section 123', 'Section 278']"
"On 12-02-2025, I witnessed/experienced forgery for the purpose of harming the reputation of any person or knowing that it is likely to be used for that purpose. The incident happened at train. This occurred around evening. The accused is a relative. I have evidence in the form of physical evidence.","['Section 442', 'Section 246']"
"This is to report that on 21-03-2023, fraudulent execution of deed of transfer containing a false statement of consideration occurred. The incident happened at home. This occurred around night. The accused is known to me. I have evidence in the form of physical evidence.","['Section 355', 'Section 411']"
"This is to report that on 12-07-2024, culpable homicide not amounting to murder, if act by which the death is caused is done with intention of causing death, etc. occurred. The incident happened at market. This occurred around morning. The accused is a stranger. I have evidence in the form of video recording.","['Section 493', 'Section 475']"
I wish to file an FIR as threatening any person to induce him to refrain from making a legal application for protection from injury has taken place. The incident happened at workplace. This occurred around early morning. The accused is unknown. I have evidence in the form of physical evidence.,"['Section 137', 'Section 441']"
"On 10-08-2024, I witnessed/experienced dealing with fire or any combustible matter so as to endanger human life, etc.. The incident happened at bus. This occurred around evening. The accused is a stranger. I have evidence in the form of physical evidence.","['Section 437', 'Section 129']"
"This is to report that on 26-06-2023, public servant unlawfully buying or bidding for property occurred. The incident happened at shop. This occurred around morning. The accused is a stranger. I have evidence in the form of photographs.","['Section 508', 'Section 221']"
I would like to report that sexual intercourse by husband upon his wife during separation. The incident happened at market. This occurred around morning. The accused is a stranger. I have evidence in the form of physical evidence.,"['Section 223', 'Section 148']"
"On 21-05-2023, I witnessed/experienced cheating a person whose interest the offender was bound, either by law or by legal contract, to protect. The incident happened at restaurant. This occurred around early morning. The accused is a stranger. I have evidence in the form of video recording.","['Section 171', 'Section 390']"
"On 02-09-2024, I witnessed/experienced the incident described. The incident happened at road. This occurred around night. The accused is a colleague. I have evidence in the form of physical evidence.","['Section 441', 'Section 397']"
"I would like to report that fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied. The incident happened at workplace. This occurred around morning. The accused is a relative. I have evidence in the form of witnesses.","['Section 275', 'Section 419']"
"I would like to report that destroying, damaging or defiling a place of worship or sacred object with intent to insult the religion of any class of persons. The incident happened at shop. This occurred around morning. The accused is a stranger. I have evidence in the form of witnesses.","['Section 201', 'Section 285']"
I wish to file an FIR as having possession of a counterfeit government stamp has taken place. The incident happened at market. This occurred around early morning. The accused is unknown. I have evidence in the form of physical evidence.,"['Section 299', 'Section 202']"
"This is to report that on 06-11-2024, wrongful confinement in secret occurred. The incident happened at home. This occurred around early morning. The accused is my neighbor. I have evidence in the form of video recording.","['Section 273', 'Section 155']"
I am filing this complaint regarding an incident where repeat offenders. The incident happened at shop. This occurred around afternoon. The accused is unknown. I have evidence in the form of documents.,"['Section 329', 'Section 272']"
I am filing this complaint regarding an incident where illegal payments in connection with elections. The incident happened at shop. This occurred around night. The accused is known to me. I have evidence in the form of photographs.,"['Section 472', 'Section 463']"
I am filing this complaint regarding an incident where the incident described. The incident happened at shop. This occurred around morning. The accused is unknown. I have evidence in the form of physical evidence.,"['Section 166', 'Section 206']"
"On 21-11-2024, I witnessed/experienced the incident described. The incident happened at restaurant. This occurred around morning. The accused is a colleague. I have evidence in the form of witnesses.","['Section 378', 'Section 434']"
"On 02-10-2024, I witnessed/experienced house-trespass in order to the commission of an offence punishable with death. The incident happened at public place. This occurred around early morning. The accused is a colleague. I have evidence in the form of witnesses.","['Section 461', 'Section 227']"
I would like to report that false statement in connection with an election. The incident happened at market. This occurred around evening. The accused is unknown. I have evidence in the form of video recording.,"['Section 228', 'Section 404']"
I am filing this complaint regarding an incident where concealing with intent to facilitate a design to wage war. The incident happened at bus. This occurred around early morning. The accused is my neighbor. I have evidence in the form of medical reports.,"['Section 181', 'Section 474']"
"I am filing this complaint regarding an incident where deserter concealed on board merchant vessel, through negligence of master or person in charge thereof. The incident happened at public place. This occurred around evening. The accused is known to me. I have evidence in the form of photographs.","['Section 484', 'Section 301']"
I would like to report that the incident described. The incident happened at shop. This occurred around evening. The accused is a relative. I have evidence in the form of witnesses.,"['Section 418', 'Section 198']"
I am filing this complaint regarding an incident where the incident described. The incident happened at restaurant. This occurred around night. The accused is my neighbor. I have evidence in the form of witnesses.,"['Section 125', 'Section 454']"
I am filing this complaint regarding an incident where resistance to the taking of property by the lawful authority of a public servant. The incident happened at public place. This occurred around early morning. The accused is a stranger. I have evidence in the form of physical evidence.,"['Section 248', 'Section 379']"
I would like to report that forgery for the purpose of cheating. The incident happened at market. This occurred around morning. The accused is a stranger. I have evidence in the form of video recording.,"['Section 286', 'Section 441']"
I wish to file an FIR as kidnapping or obtaining the custody of a minor in order that such minor may be employed or used for purposes of begging has taken place. The incident happened at home. This occurred around afternoon. The accused is a relative. I have evidence in the form of physical evidence.,"['Section 511', 'Section 291']"
"This is to report that on 31-05-2024, theft by clerk or servant of property in possession of master or employer occurred. The incident happened at public place. This occurred around early morning. The accused is my neighbor. I have evidence in the form of physical evidence.","['Section 221', 'Section 159']"
I wish to file an FIR as the mischief described in the last section when committed by fire or any explosive substance has taken place. The incident happened at public place. This occurred around night. The accused is a relative. I have evidence in the form of documents.,"['Section 424', 'Section 209']"
"This is to report that on 12-10-2024, the incident described occurred. The incident happened at bus. This occurred around morning. The accused is unknown. I have evidence in the form of documents.","['Section 403', 'Section 224']"
I am filing this complaint regarding an incident where lurking house trespass or house-breaking. The incident happened at market. This occurred around morning. The accused is unknown. I have evidence in the form of photographs.,"['Section 307', 'Section 378']"
"This is to report that on 09-12-2023, wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc. occurred. The incident happened at road. This occurred around morning. The accused is unknown. I have evidence in the form of physical evidence.","['Section 487', 'Section 237']"
"This is to report that on 01-03-2024, act caused by inducing a person to believe that he will be rendered an object of divine displeasure occurred. The incident happened at market. This occurred around night. The accused is a relative. I have evidence in the form of physical evidence.","['Section 499', 'Section 140']"
I am filing this complaint regarding an incident where same with respect to indian coin. The incident happened at market. This occurred around evening. The accused is a stranger. I have evidence in the form of witnesses.,"['Section 392', 'Section 123']"
"This is to report that on 05-11-2023, the incident described occurred. The incident happened at road. This occurred around early morning. The accused is known to me. I have evidence in the form of physical evidence.","['Section 438', 'Section 468']"
"On 10-09-2023, I witnessed/experienced fraudulent removal or concealment of property of himself or any other person or assisting in the doing thereof, or dishonestly releasing any demand or claim to which he is entitled. The incident happened at bus. This occurred around morning. The accused is known to me. I have evidence in the form of witnesses.","['Section 152', 'Section 471']"
"I would like to report that sale of printed or engraved substance containing defamatory matter, knowing it to contain such matter against the president or the vice-president or the governor of a state or administrator of a union territory or a minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the public prosecutor. The incident happened at public place. This occurred around evening. The accused is my neighbor. I have evidence in the form of video recording.","['Section 216', 'Section 317']"
"This is to report that on 12-02-2024, failure to appear at specified place and specified time as required by a proclamation published under sub-section 1 of section 82 of this code occurred. The incident happened at bus. This occurred around evening. The accused is unknown. I have evidence in the form of witnesses.","['Section 503', 'Section 374']"
"On 17-10-2024, I witnessed/experienced belonging to a gang of persons associated for the purpose of habitually committing dacoity. The incident happened at restaurant. This occurred around early morning. The accused is a stranger. I have evidence in the form of physical evidence.","['Section 460', 'Section 479']"
I wish to file an FIR as knowingly selling or issuing from a dispensary any drug or medical preparation as a different drug or medical preparation has taken place. The incident happened at train. This occurred around morning. The accused is known to me. I have evidence in the form of documents.,"['Section 271', 'Section 321']"
"This is to report that on 30-09-2023, the incident described occurred. The incident happened at restaurant. This occurred around night. The accused is unknown. I have evidence in the form of medical reports.","['Section 189', 'Section 140']"
I would like to report that the incident described. The incident happened at public place. This occurred around early morning. The accused is a relative. I have evidence in the form of witnesses.,"['Section 168', 'Section 129']"
I wish to file an FIR as agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it has taken place. The incident happened at train. This occurred around morning. The accused is unknown. I have evidence in the form of documents.,"['Section 138', 'Section 212']"
"On 07-03-2025, I witnessed/experienced assault or use of criminal force on grave and sudden provocation. The incident happened at home. This occurred around morning. The accused is unknown. I have evidence in the form of physical evidence.","['Section 173', 'Section 177']"
"On 06-10-2024, I witnessed/experienced failure to keep election accounts. The incident happened at road. This occurred around evening. The accused is a colleague. I have evidence in the form of video recording.","['Section 253', 'Section 310']"
"I am filing this complaint regarding an incident where knowingly stating to a public servant, on oath as true that which is false. The incident happened at road. This occurred around evening. The accused is a stranger. I have evidence in the form of witnesses.","['Section 124', 'Section 155']"
"I wish to file an FIR as act done with intent to prevent a child being born alive, or to cause it to die after its birth has taken place. The incident happened at road. This occurred around morning. The accused is my neighbor. I have evidence in the form of documents.","['Section 151', 'Section 496']"
"On 28-05-2024, I witnessed/experienced the incident described. The incident happened at bus. This occurred around evening. The accused is a relative. I have evidence in the form of medical reports.","['Section 446', 'Section 360']"
"I am filing this complaint regarding an incident where counterfeiting a property mark used by another, with intent to cause damage or injury. The incident happened at public place. This occurred around morning. The accused is known to me. I have evidence in the form of documents.","['Section 224', 'Section 297']"
I am filing this complaint regarding an incident where extortion. The incident happened at market. This occurred around evening. The accused is a colleague. I have evidence in the form of photographs.,"['Section 257', 'Section 146']"
"On 15-03-2025, I witnessed/experienced harbouring persons hired for an unlawful assembly. The incident happened at market. This occurred around morning. The accused is a relative. I have evidence in the form of video recording.","['Section 273', 'Section 477']"
I wish to file an FIR as resistance to the taking of property by the lawful authority of a public servant has taken place. The incident happened at market. This occurred around afternoon. The accused is a colleague. I have evidence in the form of documents.,"['Section 150', 'Section 123']"
"On 27-03-2024, I witnessed/experienced administering stupefying drug with intent to cause hurt, etc.. The incident happened at bus. This occurred around morning. The accused is known to me. I have evidence in the form of medical reports.","['Section 348', 'Section 349']"
